vector_field,persona_id,preset_name,reviews,mae,rmse,bias,within_0_5,within_1_0,lecture_avg_mae,hit_at_10,hit_at_30,hit_at_100,median_rank,mean_rank,corr
initial_preference_vector,1,low_workload,10,0.5699204682408668,0.7272885518155064,-0.08363379729747486,0.5,0.9,0.543,0.1,0.1,0.3,202.0,213.1,0.596721382033804
initial_preference_vector,2,learning_quality,10,0.7613310946564129,0.8411262541498467,-0.487548676057105,0.3,0.7,0.684,0.6,0.7,0.8,3.0,33.0,-0.47389625441016975
initial_preference_vector,3,balanced,10,0.6287886529692264,0.700670790578327,0.0997083860432804,0.3,0.9,0.664,0.4,0.5,0.9,33.5,36.7,0.6249906250703108
initial_preference_vector,4,grade_focused,10,0.535566665665041,0.5758298441763422,-0.5138975802988062,0.4,1.0,0.40700000000000003,0.1,0.4,0.7,39.5,100.6,0.7718720566066691
initial_preference_vector,5,balanced,10,0.8591376638892017,1.0705612086447458,-0.18622567532871664,0.2,0.8,0.8230000000000001,0.1,0.2,0.5,131.5,169.2,0.5231344224522569
initial_preference_vector,6,grade_focused,10,0.6094086433038518,0.8121419127095254,0.04910935858005594,0.4,0.9,0.643,0.2,0.3,0.7,42.0,83.4,0.5189365333503462
initial_preference_vector,7,learning_quality,10,0.7396145438061481,0.908256957472995,-0.3030582536968222,0.5,0.7,0.781,0.4,0.4,0.6,62.0,146.4,0.799349346407186
initial_preference_vector,8,low_workload,10,0.2628013725452396,0.31879418022363953,-0.23797514171920559,0.9,1.0,0.23500000000000004,0.4,0.5,0.8,33.0,62.5,0.7167542201793436
initial_preference_vector,9,learning_quality,10,0.5855960203647245,0.6613456091231534,-0.5392235667545645,0.4,0.9,0.45699999999999996,0.4,0.4,0.6,46.5,118.9,0.8220355829350399
initial_preference_vector,10,grade_focused,10,0.7936400373151401,0.996377413165334,0.09271152253968724,0.4,0.8,0.7350000000000001,0.2,0.4,0.7,56.0,71.2,0.8013219969949698
initial_preference_vector,11,low_workload,10,0.542213967953814,0.5976678909136515,-0.542213967953814,0.5,0.9,0.46299999999999997,0.3,0.4,0.5,94.0,151.8,0.879629483368587
initial_preference_vector,12,low_workload,10,0.41623817812764585,0.520329589298733,-0.33701860566695263,0.7,0.9,0.41900000000000015,0.4,0.6,0.9,15.0,31.7,0.1754393481804503
initial_preference_vector,13,grade_focused,10,0.5728514930040391,0.7328028342267208,-0.1908097049569263,0.6,0.9,0.5449999999999999,0.2,0.4,0.8,42.0,54.2,0.8436754433917729
initial_preference_vector,14,low_workload,10,0.4242075897804504,0.4698796119510902,-0.23624720150492853,0.7,1.0,0.41400000000000003,0.3,0.4,0.6,62.5,130.7,0.8021381863068702
initial_preference_vector,15,balanced,10,0.6079840390674764,0.7630791684508542,-0.15447976619073728,0.4,0.9,0.5619999999999999,0.1,0.4,0.6,45.0,162.9,0.7210196301769575
initial_preference_vector,16,grade_focused,10,0.6599164382803385,0.8484423873711066,0.16517148549714591,0.5,0.8,0.6639999999999999,0.2,0.3,0.8,53.5,76.7,0.7922532181833551
initial_preference_vector,17,balanced,10,0.7674899607249795,1.0531608155583354,0.24344268932402202,0.6,0.8,0.9199999999999999,0.5,0.5,0.8,25.0,59.8,0.8105395890945185
initial_preference_vector,18,grade_focused,10,0.8413135292182996,1.0576317409151605,0.2891262386966484,0.4,0.7,0.857,0.1,0.3,0.9,39.0,50.2,0.5702954721435456
initial_preference_vector,19,learning_quality,10,0.8653946859294972,1.1173264298276901,0.48329444569355084,0.5,0.7,0.951,0.2,0.4,0.5,159.0,175.2,0.8307909320035446
initial_preference_vector,20,balanced,10,0.9831967245582348,1.288016856292338,0.47407350946404386,0.4,0.7,0.9709999999999999,0.2,0.3,0.6,72.5,117.5,0.7660677363967449
aggregated_review_vector,1,low_workload,10,0.5699204682408668,0.7272885518155064,-0.08363379729747486,0.5,0.9,0.543,0.2,0.2,0.3,180.0,227.9,0.596721382033804
aggregated_review_vector,2,learning_quality,10,0.7613310946564129,0.8411262541498467,-0.487548676057105,0.3,0.7,0.684,0.7,0.7,0.9,4.0,32.5,-0.47389625441016975
aggregated_review_vector,3,balanced,10,0.6287886529692264,0.700670790578327,0.0997083860432804,0.3,0.9,0.664,0.4,0.4,0.7,54.5,81.1,0.6249906250703108
aggregated_review_vector,4,grade_focused,10,0.535566665665041,0.5758298441763422,-0.5138975802988062,0.4,1.0,0.40700000000000003,0.1,0.1,0.6,98.5,141.6,0.7718720566066691
aggregated_review_vector,5,balanced,10,0.8591376638892017,1.0705612086447458,-0.18622567532871664,0.2,0.8,0.8230000000000001,0.0,0.1,0.4,230.0,222.6,0.5231344224522569
aggregated_review_vector,6,grade_focused,10,0.6094086433038518,0.8121419127095254,0.04910935858005594,0.4,0.9,0.643,0.0,0.2,0.6,96.0,129.8,0.5189365333503462
aggregated_review_vector,7,learning_quality,10,0.7396145438061481,0.908256957472995,-0.3030582536968222,0.5,0.7,0.781,0.4,0.4,0.7,49.5,161.3,0.799349346407186
aggregated_review_vector,8,low_workload,10,0.2628013725452396,0.31879418022363953,-0.23797514171920559,0.9,1.0,0.23500000000000004,0.2,0.4,0.7,65.5,90.9,0.7167542201793436
aggregated_review_vector,9,learning_quality,10,0.5855960203647245,0.6613456091231534,-0.5392235667545645,0.4,0.9,0.45699999999999996,0.4,0.4,0.6,54.0,163.7,0.8220355829350399
aggregated_review_vector,10,grade_focused,10,0.7936400373151401,0.996377413165334,0.09271152253968724,0.4,0.8,0.7350000000000001,0.0,0.1,0.6,88.0,98.0,0.8013219969949698
aggregated_review_vector,11,low_workload,10,0.542213967953814,0.5976678909136515,-0.542213967953814,0.5,0.9,0.46299999999999997,0.3,0.4,0.5,111.5,185.6,0.879629483368587
