epoch,train_loss,test_loss
1,2.3596208130910465,0.3883102670352501
2,1.5981237541311537,0.3620168492716456
3,1.1843780348146409,0.33556624545452113
4,0.9335609641661995,0.31430115818829574
5,0.7682460104742994,0.293469299609785
6,0.6522138448485113,0.2739902258015238
7,0.5668696655334111,0.2537416369521862
8,0.5018521407493546,0.23424325706035895
9,0.4509677135078844,0.21629186082253127
10,0.4102897299548762,0.20050262184889017
11,0.37720437107467314,0.18612274963391034
12,0.34990035771894223,0.1738801269947702
13,0.32708042695438266,0.1637494338444477
14,0.3077901870339391,0.1555303075145538
15,0.2913122249743602,0.14841271396582456
16,0.27709799970071564,0.14203219890108434
17,0.2647224066455779,0.13666573172118462
18,0.2538524242311526,0.1315304386272682
19,0.24422482817275257,0.12699512920103387
20,0.2356299613773474,0.1227893158919143
21,0.22789968642388783,0.11919278384677753
22,0.22089831041712307,0.11610461026363751
23,0.21451567033728752,0.11342683213514243
24,0.20866181615424798,0.11088112871078326
25,0.20326289134317355,0.10851559177544552
26,0.19825792019673116,0.10639776223250658
27,0.19359628774926396,0.10450252780823746
28,0.189235752559014,0.1028122150031493
29,0.1851408720376596,0.10129760510658894
30,0.18128174898434346,0.09992853329818249
31,0.17763302948652457,0.0986694132721389
32,0.17417309845961557,0.09752369142921076
33,0.17088343125965105,0.09647216440237465
34,0.1677480690489597,0.09550375671419269
35,0.16475319266704083,0.09461260310617546
36,0.1618867751989511,0.09378997834353762
37,0.15913829763956755,0.0930244764783598
38,0.15649851531926054,0.0922507846288844
39,0.15395926530526516,0.0915287083527734
40,0.15151330698922957,0.09085279423631626
41,0.14915418964057123,0.09021392412444974
42,0.14687614194297305,0.08960544071646663
43,0.14467397951075756,0.08892911548773612
44,0.1425430271592518,0.0882882396155695
45,0.14047905332208585,0.08767961201861092
46,0.1384782145023602,0.0871003823503288
47,0.13653700804004554,0.08654783569457712
48,0.13465223179534813,0.08601971660283803
49,0.13282094960316726,0.08551416467093151
50,0.1310404615598318,0.08500552153732618
51,0.12930827836998637,0.08444554051085314
52,0.12762209911668926,0.08390578132939489
53,0.12597979192771105,0.08338479980391432
54,0.12437937710065053,0.0828812881247803
55,0.12281901232275001,0.08239406006024544
56,0.12129697968134563,0.08192203793608865
57,0.11981167421024354,0.08146424116075507
58,0.118361593757991,0.08101977609449695
59,0.11694532999762376,0.08058782708978067
60,0.1155615604253307,0.08016764855451777
61,0.11420904121862528,0.07975855791024052
62,0.11288660084390817,0.07935992933480474
63,0.1115931343194307,0.07897118819406604
64,0.11032759805318394,0.07858912702779801
65,0.10908900518660089,0.07821462192060609
66,0.10787642138453624,0.077846919281572
67,0.10668896102008649,0.07748731624251962
68,0.10552578370967762,0.07713545114047249
69,0.10438609115968821,0.07679096561097097
70,0.10326912429085151,0.07645352713545937
71,0.10217416061093913,0.07612282674737221
72,0.10110051180987906,0.07579857696640822
73,0.10004752155460013,0.07548050993627127
74,0.09901456346360248,0.07516820947352595
