model,k,train_mse,test_mse
content_knn,1,0.0138534,0.008521
content_knn,2,0.01130209,0.00822129
content_knn,3,0.01043053,0.00824595
content_knn,5,0.00956086,0.00738258
content_knn,7,0.00932234,0.00714412
content_knn,10,0.00870507,0.00538094
content_knn,15,0.00867943,0.00639406
content_knn,20,0.00869972,0.00633303
content_knn,30,0.00872155,0.00673653
content_knn,45,0.00872133,0.00675301
