lecture_id,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_count,text_negative_ratio,text_neutral_count,text_neutral_ratio,text_positive_count,text_positive_ratio,text_review_count,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf
2376930,20,147,4.08,0.816,0.558219,0.441781,0.982877,0.017123,0.5,0.5,0.071918,0.79452,0.464726,0.326027,0.0,0.030661,0.021469,0.0,0.079047,0.034431,0.0,0.095479,0.095479,0.0,0.038344,0.038344,0,0.0,1,0.05,19,0.95,20,0.0,0.032677,0.032677,0.0,0.25,0.055024
43466,20,319,4.69,0.938,0.376175,0.623825,0.937304,0.062696,0.863636,0.136364,0.101881,0.778997,0.484169,0.307837,0.0,0.366505,0.256634,0.0,0.193838,0.084431,0.0,0.127437,0.127437,0.0,0.070763,0.070763,0,0.0,0,0.0,20,1.0,20,0.0,0.0,0.0,0.0,0.0,0.0
120955,20,1139,4.23,0.846,0.523705,0.476295,0.914399,0.085601,0.636084,0.363916,0.334503,0.360843,0.697498,0.063389,0.0,0.106417,0.095984,0.0,0.0,0.0,0.0,0.095297,0.095297,0.100545,0.032419,0.064838,1,0.05,5,0.25,14,0.7,20,0.0,0.069123,0.069123,0.0,0.0,0.0
120496,20,217,4.79,0.958,0.645161,0.354839,0.640553,0.359447,0.857143,0.142857,0.179723,0.63825,0.634332,0.140093,0.0,0.165947,0.116199,0.0,0.114791,0.05,0.0,0.069546,0.069546,0.0,0.064838,0.064838,0,0.0,0,0.0,20,1.0,20,0.0,0.0,0.0,0.0,0.810795,0.178453
227339,20,74,3.18,0.636,0.432433,0.567568,0.418919,0.581081,0.743244,0.256756,0.297297,0.432432,0.343919,0.485811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097176,0.12189,0.0,0.191354,0.241354,1,0.05,5,0.25,14,0.7,20,0.0,0.061355,0.122711,0.0,0.068727,0.015127
1772294,20,69,3.49,0.698,0.507247,0.492754,0.963768,0.036232,0.5,0.5,0.195653,0.615943,0.42029,0.376812,0.075,0.061321,0.107346,0.0,0.361705,0.15755,0.461665,0.126462,0.289739,0.098911,0.032419,0.064312,7,0.35,4,0.2,9,0.45,20,0.0,0.069123,0.069123,0.0,0.055398,0.012193
2249329,20,241,4.62,0.924,0.641079,0.358921,0.975104,0.024896,0.819503,0.180497,0.433609,0.219917,0.405394,0.395021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05508,0.05508,0.0,0.070236,0.070236,1,0.05,0,0.0,19,0.95,20,0.0,0.026038,0.026038,0.0,0.0,0.0
993442,20,115,4.85,0.97,0.627193,0.372807,0.942983,0.057018,0.767544,0.232456,0.31579,0.359649,0.405263,0.396491,0.0,0.064595,0.045231,0.0,0.0,0.0,0.0,0.081962,0.081962,0.0,0.0,0.0,0,0.0,0,0.0,20,1.0,20,0.0,0.181041,0.181041,0.0,0.0,0.0
226224,20,364,4.53,0.906,0.379121,0.620879,0.351649,0.648351,0.785714,0.214285,0.401099,0.248626,0.408105,0.392308,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.117644,0.154738,0.0,0.0,0.0,1,0.05,2,0.1,17,0.85,20,0.0,0.0,0.0,0.0,0.22159,0.048771
43510,20,88,4.92,0.984,0.772727,0.227273,0.965909,0.034092,0.863636,0.136363,0.204546,0.681818,0.363636,0.434659,0.0,0.075756,0.053046,0.0,0.191086,0.083233,0.0,0.035546,0.035546,0.0,0.070236,0.070236,0,0.0,1,0.05,19,0.95,20,0.0,0.078113,0.078113,0.0,0.0,0.0
