epoch,train_loss,test_loss
1,2.536444966031953,0.29400397037970843
2,1.621355689203147,0.24882295981353106
3,1.1461325314133861,0.22902409557963394
4,0.8537232770078199,0.21775593146197642
5,0.6585100791229738,0.20921470098928477
6,0.5217999378096116,0.19584698265255168
7,0.4228974307826135,0.17157245396894052
8,0.3494927229652459,0.14723037622863183
9,0.2938064078533386,0.1268767900900531
10,0.25073214107244174,0.11074707477873295
11,0.21682055057412622,0.09830782532512725
12,0.18968576177736277,0.08865578703763169
13,0.16764448568541876,0.08113064583654374
14,0.14948911414045238,0.07524572746546107
15,0.13434077189229848,0.07063904929511322
16,0.12155163921142458,0.06703870102566664
17,0.11063855435335393,0.06423828992862328
18,0.10123701505473623,0.0620794527436669
19,0.09306880942320041,0.0603671466788446
20,0.08591895847837933,0.058807117000242035
21,0.0796191526329876,0.057551857406482554
22,0.07403579831618899,0.05654511479874905
23,0.06906137949120827,0.05574214375547809
24,0.06460821580007765,0.05510702706571814
25,0.0606039487493968,0.05461069202894043
26,0.05698826212396343,0.05422943097875557
27,0.05371047285776327,0.053943787469454385
28,0.050727729212913124,0.053737708181509206
29,0.04800363118581971,0.053597888862326845
30,0.04550714693733625,0.053513263194463874
31,0.04321174143661757,0.05347459827863221
32,0.041094662459388746,0.053474170888240295
33,0.03913634786225535,0.0535055059503726
34,0.03731992972043799,0.05356316374595536
35,0.035630817961801946,0.053642565794590404
36,0.03405635037399098,0.05373985180451713
37,0.0325854985069228,0.053851761779189024
38,0.031208620769570886,0.0539755386161097
39,0.029917255335583592,0.054108847464816964
40,0.028703946536502583,0.05424970882734273
41,0.02756209933266108,0.054396442948310496
42,0.026485857252251853,0.054547623493014605
43,0.025469999895110285,0.05470203887683032
44,0.024509856716600057,0.05485865990643782
45,0.023601234343664013,0.05501661263596594
46,0.022740355135237564,0.05517515553947466
47,0.02192380508958114,0.05533366026324245
48,0.02114848952923278,0.05549159535367531
49,0.02041159526805093,0.05564851246465961
50,0.019710558191852714,0.05580403463628425
51,0.019043035371566704,0.05595784630870903
52,0.01840688098200281,0.056109684793576066
53,0.01780012542590111,0.056259332973222824
54,0.01722095716665851,0.05640661303707244
55,0.016667706858120072,0.056551381096603515
56,0.016138833429449953,0.05669352254657785
57,0.015632911840188966,0.05683294806179482
58,0.015148622267467878,0.05696959013645377
59,0.014684740525877309,0.057103400087909914
60,0.01424012955223907,0.05723434545880605
61,0.013813731813734798,0.057362407761701706
62,0.013404562519547823,0.05748758051876648
63,0.013011703534185593,0.057609867556176766
64,0.012634297905647672,0.05772928151878013
65,0.012271544934128974,0.057845842575579516
66,0.011922695717439247,0.057959577290795684
67,0.011587049118140668,0.058070517638824336
68,0.011263948104842708,0.05817870014442432
69,0.010952776426386,0.05828416513204171
70,0.010652955582991225,0.05838695607035648
71,0.010363942062999867,0.058487119000017
72,0.010085224817723894,0.05858470203412197
73,0.009816322950256971,0.05867975492238374
74,0.009556783596970235,0.05877232867109554
75,0.009306179982891889,0.05886247521202908
76,0.00906410963431361,0.058950247114281984
77,0.00883019273382957,0.05903569733384202
78,0.008604070604634539,0.05911887899630011
79,0.008385404312324414,0.05919984520870793
80,0.008173873373682633,0.05927864889707529
81,0.007969174563025946,0.059355342666432005
82,0.007771020807641499,0.059429978680750714
83,0.007579140164694919,0.059502608560359146
84,0.007393274872737827,0.059573283294751436
85,0.007213180471608189,0.05964205316895808
86,0.007038624985107578,0.05970896770185701
87,0.006869388161365798,0.0597740755949909
88,0.006705260766273623,0.059837424690632884
89,0.006546043925784073,0.05989906193798361
90,0.006391548513260083,0.059959033366515306
91,0.006241594578384043,0.060017384065590755
92,0.006096010814449764,0.060074158169585994
93,0.00595463406113031,0.06012939884783476
94,0.005817308840064151,0.06018314829879006
95,0.005683886920823838,0.060235447747866315
96,0.0055542269150355705,0.06028633744848796
97,0.005428193896600183,0.06033585668592227
98,0.005305659046133226,0.0603840437835267
99,0.005186499317893197,0.06043093611107381
100,0.005070597127604287,0.0604765700948671
101,0.004957840059706148,0.060520981229381564
102,0.004848120592677196,0.06056420409020283
103,0.004741335841182681,0.060606272348056864
104,0.004637387313894259,0.06064721878375149
105,0.004536180685915604,0.06068707530386821
106,0.004437625584828258,0.06072587295706307
107,0.004341635389445554,0.06076364195084981
108,0.00424812704043008,0.06080041166875674
109,0.004157020861991926,0.06083621068775661
110,0.004068240393941555,0.06087106679588608
111,0.003981712233424243,0.06090500700997732
112,0.003897365885710626,0.06093805759343576
113,0.0038151336234625135,0.06097024407400609
114,0.003734950353934354,0.0610015912614755
115,0.003656753493608152,0.061032123265268856
116,0.0035804828497947995,0.06106186351189889
117,0.00350608050876715,0.06109083476223789
118,0.0034334907300196315,0.06111905912858111
119,0.003362659846277128,0.06114655809147965
120,0.0032935361689012794,0.06117335251631958
121,0.003226069898366024,0.06119946266963265
122,0.003160213039496146,0.061224908235122465
