alpha,gamma,train_rmse_mean,train_rmse_std,valid_rmse_mean,valid_rmse_std,valid_mse_mean,valid_mae_mean,generalization_gap
0.001,1e-06,0.08663044,0.00269043,0.08700488,0.01105935,0.00769216,0.06527462,0.00037444
0.001,3e-06,0.08462905,0.00279701,0.08541688,0.01067851,0.00741007,0.06317051,0.00078783
0.001,1e-05,0.08388366,0.00285282,0.08497804,0.01051481,0.00733183,0.06248519,0.00109438
0.001,3e-05,0.08346207,0.00289172,0.08474727,0.01051451,0.00729265,0.06222079,0.0012852
0.001,0.0001,0.08275005,0.00294618,0.08447671,0.01065581,0.00724986,0.06194488,0.00172666
0.001,0.0003,0.08044038,0.00294443,0.08410709,0.01100555,0.00719513,0.06153053,0.00366671
0.001,0.001,0.07629863,0.00270568,0.08554304,0.01062157,0.00743043,0.06272495,0.00924441
0.001,0.003,0.07025255,0.00272424,0.08913516,0.01107623,0.00806776,0.06498283,0.01888261
0.001,0.01,0.0544323,0.00231081,0.10866637,0.00901047,0.01188957,0.07769624,0.05423407
0.001,0.03,0.028871,0.00124476,0.14181411,0.00843963,0.02018247,0.10088238,0.11294312
0.003,1e-06,0.09220201,0.00248722,0.09223282,0.01120782,0.00863251,0.07077089,3.081e-05
0.003,3e-06,0.08662948,0.00269044,0.08700404,0.0110591,0.00769201,0.06527432,0.00037456
0.003,1e-05,0.08452963,0.00280342,0.08535204,0.01065337,0.00739846,0.06306859,0.00082241
0.003,3e-05,0.08386182,0.00285402,0.08496425,0.01051758,0.00732954,0.06247593,0.00110243
0.003,0.0001,0.0832615,0.0029064,0.0846562,0.01055093,0.00727799,0.06213298,0.00139469
0.003,0.0003,0.08191433,0.00296308,0.08427327,0.01079577,0.00721853,0.06172347,0.00235894
0.003,0.001,0.07822146,0.00282294,0.08452658,0.01093052,0.00726422,0.06190733,0.00630512
0.003,0.003,0.07337496,0.00270311,0.08718095,0.01064861,0.00771391,0.06379994,0.01380599
0.003,0.01,0.06058138,0.00255264,0.09696021,0.01114591,0.00952551,0.07072126,0.03637883
0.003,0.03,0.03782402,0.00164279,0.12604875,0.008781,0.01596539,0.08948225,0.08822472
0.01,1e-06,0.10181355,0.00228985,0.1017627,0.01050303,0.01046596,0.07976495,-5.084e-05
0.01,3e-06,0.09296258,0.00246565,0.09297519,0.01117686,0.00876931,0.07152715,1.261e-05
0.01,1e-05,0.08662613,0.00269047,0.0870011,0.01105824,0.00769148,0.06527328,0.00037496
0.01,3e-05,0.08461151,0.00279746,0.08540265,0.01067788,0.00740763,0.06316421,0.00079115
0.01,0.0001,0.08378949,0.00285777,0.08492031,0.01052622,0.00732226,0.06244532,0.00113082
0.01,0.0003,0.08293949,0.00291995,0.08454119,0.01060554,0.00725969,0.06202678,0.00160171
0.01,0.001,0.08042596,0.00292267,0.08430563,0.01087851,0.00722578,0.06168934,0.00387967
0.01,0.003,0.07615017,0.00274645,0.08562998,0.01065637,0.00744605,0.0627405,0.00947982
0.01,0.01,0.06641516,0.00269126,0.09085564,0.01161331,0.00838962,0.0661256,0.02444048
0.01,0.03,0.04734068,0.00198408,0.11172181,0.00930596,0.01256836,0.07986387,0.06438114
0.03,1e-06,0.10866658,0.00222807,0.10863523,0.0098374,0.01189839,0.08574631,-3.136e-05
0.03,3e-06,0.101812,0.00228991,0.10176138,0.01050126,0.01046566,0.07976987,-5.062e-05
