feature_set,model,params,folds,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,epochs_mean
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(16,);learning_rate_init=0.003",5,0.01010377,0.0022584,0.09994199,0.01074109,0.07355482,0.00723723,435.8
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(16,);learning_rate_init=0.001",5,0.01034578,0.00335504,0.10037877,0.01642809,0.07472552,0.01090323,1000.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(16,);learning_rate_init=0.001",5,0.01037728,0.00230068,0.10127852,0.01095178,0.07423715,0.00694964,888.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.01047326,0.00236395,0.10172112,0.0112282,0.0760643,0.0088816,785.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(8,);learning_rate_init=0.001",5,0.01051369,0.00362537,0.10103904,0.01745874,0.07461689,0.01210488,959.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(16,);learning_rate_init=0.001",5,0.01052332,0.00229087,0.10201111,0.01081922,0.07491195,0.00709515,898.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(32,);learning_rate_init=0.001",5,0.01078078,0.00279733,0.10300204,0.01309031,0.07600424,0.00905784,948.6
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(16,);learning_rate_init=0.003",5,0.01086341,0.00342305,0.10300717,0.01590395,0.07779155,0.00976983,675.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.1;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.0108897,0.00295395,0.10341298,0.01398069,0.07651786,0.00935034,493.6
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(16,);learning_rate_init=0.003",5,0.01113207,0.00317616,0.10445678,0.01486091,0.07917664,0.00983313,580.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(64,);learning_rate_init=0.003",5,0.0112799,0.00295402,0.10536286,0.01336309,0.07779551,0.008216,231.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.01135317,0.0025325,0.10588802,0.01187007,0.0792109,0.00864651,237.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.0114266,0.00229426,0.10635995,0.0106846,0.07977117,0.00666838,316.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(32, 16);learning_rate_init=0.001",5,0.01147652,0.00284287,0.10631594,0.01316964,0.07921019,0.00958942,517.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(64,);learning_rate_init=0.003",5,0.01149134,0.00288656,0.10641166,0.0129577,0.07829034,0.00824577,215.8
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.01160148,0.00258318,0.10705083,0.0118994,0.08022773,0.00850352,211.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.01161017,0.00296408,0.1069311,0.01326293,0.07860504,0.00781785,417.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.01176231,0.00293617,0.10766532,0.01305708,0.0785313,0.00813199,336.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(8,);learning_rate_init=0.001",5,0.0117937,0.00377498,0.1071275,0.01781565,0.07958182,0.01180519,853.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(32, 16);learning_rate_init=0.001",5,0.01190083,0.00295483,0.10826723,0.01338059,0.08083411,0.009699,478.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(8,);learning_rate_init=0.001",5,0.01190223,0.00377507,0.10764512,0.01774152,0.08008115,0.01169093,853.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.01192784,0.00235439,0.10866894,0.01090427,0.08218105,0.0067011,329.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(32,);learning_rate_init=0.001",5,0.01205026,0.00251902,0.10917214,0.01147629,0.08183365,0.00713284,706.4
