model,alpha,train_mse,test_mse
ridge,0.0,0.00206083,0.01537424
ridge,0.001,0.00252648,0.01135387
ridge,0.01,0.0025276,0.01065271
ridge,0.1,0.0025607,0.00775233
ridge,1.0,0.00275248,0.00550202
ridge,10.0,0.00326819,0.00475047
ridge,100.0,0.00538582,0.0063049
