feature_set,model,params,fold,mse,rmse,mae
structured10+kobert_pca32,Histogram Gradient Boosting,l2_regularization=1.0;learning_rate=0.05;max_iter=100;max_leaf_nodes=7,4,0.0061174179740086845,0.0782139244253137,0.05888273333782254
structured10+kobert_pca32,Histogram Gradient Boosting,l2_regularization=1.0;learning_rate=0.05;max_iter=100;max_leaf_nodes=7,5,0.006319539178087581,0.07949552929622886,0.0563042578347946
structured10+kobert_pca32,XGBoost,colsample_bytree=0.8;learning_rate=0.03;max_depth=2;min_child_weight=8;n_estimators=500;reg_lambda=1.0;subsample=0.8,1,0.010002483613789082,0.10001241729799897,0.07162348926067352
structured10+kobert_pca32,XGBoost,colsample_bytree=0.8;learning_rate=0.03;max_depth=2;min_child_weight=8;n_estimators=500;reg_lambda=1.0;subsample=0.8,2,0.005398101173341274,0.0734717712685714,0.0566142238676548
structured10+kobert_pca32,XGBoost,colsample_bytree=0.8;learning_rate=0.03;max_depth=2;min_child_weight=8;n_estimators=500;reg_lambda=1.0;subsample=0.8,3,0.008986055850982666,0.09479480919851395,0.0686926618218422
structured10+kobert_pca32,XGBoost,colsample_bytree=0.8;learning_rate=0.03;max_depth=2;min_child_weight=8;n_estimators=500;reg_lambda=1.0;subsample=0.8,4,0.0059020803309977055,0.0768249980865454,0.05809365585446358
structured10+kobert_pca32,XGBoost,colsample_bytree=0.8;learning_rate=0.03;max_depth=2;min_child_weight=8;n_estimators=500;reg_lambda=1.0;subsample=0.8,5,0.006358272396028042,0.07973877598777174,0.05650452896952629
structured10+kobert_pca32,LightGBM,colsample_bytree=0.8;learning_rate=0.03;max_depth=3;min_child_samples=10;n_estimators=200;num_leaves=15;reg_lambda=1.0;subsample=0.8,1,0.010492964320791472,0.10243517130747365,0.07213799387561093
structured10+kobert_pca32,LightGBM,colsample_bytree=0.8;learning_rate=0.03;max_depth=3;min_child_samples=10;n_estimators=200;num_leaves=15;reg_lambda=1.0;subsample=0.8,2,0.00554394046595222,0.07445764209234819,0.05814981987467359
structured10+kobert_pca32,LightGBM,colsample_bytree=0.8;learning_rate=0.03;max_depth=3;min_child_samples=10;n_estimators=200;num_leaves=15;reg_lambda=1.0;subsample=0.8,3,0.009296964396535205,0.09642076745460598,0.06858741611054767
structured10+kobert_pca32,LightGBM,colsample_bytree=0.8;learning_rate=0.03;max_depth=3;min_child_samples=10;n_estimators=200;num_leaves=15;reg_lambda=1.0;subsample=0.8,4,0.006306112651961815,0.07941103608417294,0.05949970798417989
structured10+kobert_pca32,LightGBM,colsample_bytree=0.8;learning_rate=0.03;max_depth=3;min_child_samples=10;n_estimators=200;num_leaves=15;reg_lambda=1.0;subsample=0.8,5,0.006219558112880456,0.07886417509161213,0.05662166981647353
